Marca,Nombre,Género,Familia,Precio USD,Volumen ML,Notas Salida,Notas Corazón,Notas Fondo
Lattafa,LATTAFA AL QIAM GOLD 100ML,Masculino,Oriental,29,100,"Vainilla; Azafrán; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA VICTORIOSO 100ML,Masculino,Aromático,26,100,"Almizcle; Tonka; Lavanda","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Maison Alhambra,MAISON ALHAMBRA DELILAH 100ML,Femenino,Floral,33,100,"Lirio; Jazmín; Pera","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA LIAM BLUE SHINE 100ML,Masculino,Acuático,45,100,"Menta; Almizcle; Lavanda","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA FAKHAR BLACK 100ML,Unisex,Oriental,30,100,"Resinas; Almizcle; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
French Avenue,FRENCH AVENUE GENESIS SCORPIO 90ML,Masculino,Oriental,44,90,"Nuez moscada; Pimienta rosa; Cuero","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Afnan,AFNAN 9AM POUR FEMME 100ML,Femenino,Floral,41,100,"Rosa; Peonía; Bergamota","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA SCEPTRE MALACHITE 100ML,Masculino,Amaderado,30,100,"Sándalo; Vetiver; Cardamomo","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF TAG HIM 100ML,Masculino,Aromático,31,100,"Lavanda; Vetiver; Tonka","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA THE KINGDOM MASCULINO 100ML,Masculino,Amaderado,30,100,"Bergamota; Musgo de roble; Pachulí","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Maison Alhambra,MAISON ALHAMBRA JEAN LOWE IMMORTAL 100ML,Masculino,Aromático,27,100,"Cedro; Almizcle; Salvia","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA ART OF NATURE I 100ML,Masculino,Aromático,45,100,"Vetiver; Salvia; Geranio","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Rasasi,RASASI HAWAS FOR HER 100ML,Femenino,Floral,26,100,"Cedro; Violeta; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Wataniah,AL WATANIAH BAREEQ AL DHAHAB 100ML,Masculino,Amaderado,18,100,"Cedro; Ámbar; Cardamomo","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF ODYSSEY MANDARIN SKY VINTAGE 100ML,Masculino,Cítrico,56,100,"Mandarina; Bergamota; Limón","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Armaf,ARMAF MISS ARMAF ATTITUDE 100ML,Femenino,Floral,38,100,"Violeta; Almizcle; Ámbar","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA LA VITA 100ML,Femenino,Floral,21,100,"Vainilla; Pera; Peonía","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA ANA ABIYEDH 60ML,Femenino,Floral,20,60,"Lirio; Jazmín; Pera","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Emper,EMPER DONNA INTENSE 100ML,Femenino,Floral,30,100,"Almizcle; Cedro; Vainilla","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA WAJOOD 100ML,Unisex,Oriental,47,100,"Vainilla; Almizcle; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA LAIL MALEKI 100ML,Masculino,Oriental,18,100,"Incienso; Azafrán; Canela","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF ODYSSEY TYRANT 100ML,Masculino,Amaderado,26,100,"Musgo de roble; Bergamota; Sándalo","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA MAAHIR BLACK 100ML,Masculino,Oriental,28,100,"Canela; Pachulí; Rosa","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA ATLAS 55ML,Masculino,Aromático,34,55,"Lavanda; Tonka; Almizcle","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Riiffs,RIIFFS MOMENTO 100ML,Masculino,Oriental,45,100,"Rosa; Vainilla; Canela","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF YUM YUM 100ML,Femenino,Gourmand,47,100,"Praliné; Vainilla; Vainilla","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Rayhaan,RAYHAAN TROPICAL VIBES 100ML,Masculino,Cítrico,60,100,"Limón; Té verde; Naranja","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Armaf,ARMAF CLUB DE NUIT UNTOLD 105ML,Femenino,Floral,45,105,"Lirio; Vainilla; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Haramain,AL HARAMAIN AMBER OUD ULTRA VIOLET 120ML,Femenino,Oriental,83,120,"Pera; Rosa; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA LIAM GREY 100ML,Masculino,Aromático,27,100,"Tonka; Cedro; Almizcle","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
French Avenue,FRENCH AVENUE GENESIS VIRGO 90ML,Masculino,Aromático,44,90,"Violeta; Galbanum; Vetiver","Jazmín; Violeta; Hiedra","Vetiver; Musgo; Cedro"
Maison Alhambra,MAISON ALHAMBRA VICTORIOSO NERO 100ML,Masculino,Aromático,22,100,"Lavanda; Cardamomo; Almizcle","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA VICTORIA 100ML,Femenino,Floral,35,100,"Ámbar; Peonía; Rosa","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA VINTAGE RADIO 100ML,Masculino,Aromático,28,100,"Romero; Cedro; Salvia","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA FAKHAR PLATIN 100ML,Masculino,Amaderado,26,100,"Pimienta negra; Oud; Pachulí","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Paris Corner,PARIS CORNER KHAIR PISTACHIO 100ML,Femenino,Gourmand,26,100,"Vainilla; Miel; Frutas rojas","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Lattafa,LATTAFA ATHEERI 100ML,Femenino,Floral,72,100,"Bergamota; Ámbar; Peonía","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Rayhaan,RAYHAAN AZUL 100ML,Masculino,Acuático,56,100,"Ámbar gris; Bergamota; Lavanda","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA AFEEF 100ML,Femenino,Floral,84,100,"Ámbar; Jazmín; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Rasasi,RASASI SHUHRAH 90ML,Masculino,Amaderado,33,90,"Ámbar; Pachulí; Vetiver","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Afnan,AFNAN HISTORIC DORIA 100ML,Femenino,Floral,41,100,"Cedro; Pera; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Haramain,AL HARAMAIN AMBER OUD TOBACCO 60ML,Masculino,Oriental,57,60,"Pachulí; Cuero; Clavo","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Armaf,ARMAF ODYSSEY MEGA LE 100ML,Masculino,Aromático,27,100,"Geranio; Romero; Lavanda","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA MUSAMAM WHITE INTENSE 100ML,Femenino,Floral,45,100,"Bergamota; Vainilla; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Rasasi,RASASI HAWAS BLACK 100ML,Masculino,Oriental,39,100,"Vainilla; Pachulí; Rosa","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF ODYSSEY HOMME WHITE 100ML,Masculino,Aromático,38,100,"Cardamomo; Lavanda; Geranio","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Bharara,BHARARA KING EDP 150ML,Masculino,Oriental,81,150,"Resinas; Ámbar; Canela","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA FLAMING ELIXIR 80ML,Masculino,Oriental,22,80,"Jengibre; Cardamomo; Azafrán","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Lattafa,LATTAFA HAYAATI GOLD ELIXIR 100ML,Masculino,Oriental,18,100,"Canela; Vainilla; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF ODYSSEY SPECTRA 100ML,Masculino,Aromático,27,100,"Cedro; Lavanda; Romero","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Maison Alhambra,MAISON ALHAMBRA TERRA 50ML,Masculino,Amaderado,21,50,"Oud; Bergamota; Cedro","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF CLUB DE NUIT PRECIEUX I 55ML,Masculino,Oriental,57,55,"Oud; Pachulí; Rosa","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Afnan,AFNAN 9PM ELIXIR PARFUM 100ML,Unisex,Oriental,49,100,"Canela; Bergamota; Oud","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA MAYAR NATURAL INTENSE 100ML,Femenino,Floral,25,100,"Ámbar; Limón; Jazmín","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA HAYA 100ML,Femenino,Floral,33,100,"Pera; Jazmín; Ámbar","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Haramain,AL HARAMAIN AMBER OUD AQUA DUBAI 100ML,Masculino,Acuático,61,100,"Geranio; Lavanda; Notas marinas","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Al Haramain,AL HARAMAIN DETOUR NOIR 100ML,Masculino,Amaderado,29,100,"Pachulí; Cedro; Pimienta negra","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Dumont,DUMONT NITRO INTENSE 100ML,Masculino,Amaderado,36,100,"Oud; Musgo de roble; Pimienta negra","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Al Wataniah,AL WATANIAH SPECIAL OUD 100ML,Masculino,Oriental,20,100,"Oud; Resinas; Pachulí","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Al Haramain,AL HARAMAIN L'AVENTURE GOLD 100ML,Femenino,Floral,41,100,"Almizcle; Limón; Ámbar","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA QIMMAH WOMAN 100ML,Femenino,Floral,23,100,"Jazmín; Pera; Almizcle","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Haramain,AL HARAMAIN AMBER OUD CARBON EDITION 100ML,Masculino,Amaderado,56,100,"Ámbar; Sándalo; Vetiver","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Afnan,AFNAN 9AM BLANCO 100ML,Femenino,Floral,34,100,"Bergamota; Limón; Ámbar","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Haramain,AL HARAMAIN AMBER OUD BLACK 60ML,Unisex,Oriental,59,60,"Pachulí; Rosa; Bergamota","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Afnan,AFNAN SUPREMACY COLLECTOR'S EDITION 100ML,Masculino,Oriental,67,100,"Cuero; Azafrán; Clavo","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Al Wataniah,AL WATANIAH WATANI NOIR 100ML,Masculino,Amaderado,20,100,"Bergamota; Oud; Vetiver","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA BADE'E AL OUD HONOR & GLORY 100ML,Masculino,Oriental,26,100,"Oud; Vainilla; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF CLUB DE NUIT PRECIEUX IV 55ML,Femenino,Floral,59,55,"Pera; Almizcle; Limón","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA ASAD 100ML,Unisex,Amaderado,30,100,"Sándalo; Pachulí; Bergamota","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA KHAMRAH DUKHAN 100ML,Unisex,Oriental,26,100,"Cuero; Canela; Jengibre","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Lattafa,LATTAFA ART OF NATURE II 100ML,Masculino,Amaderado,38,100,"Bergamota; Vetiver; Cedro","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Al Wataniah,AL WATANIAH KENZ AL MALIK 100ML,Masculino,Oriental,23,100,"Rosa; Pachulí; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA BADE'E AL OUD SUBLIME 100ML,Unisex,Oriental,27,100,"Cedro; Sándalo; Pachulí","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA ANA ABIYEDH ROUGE 60ML,Femenino,Floral,19,60,"Lirio; Bergamota; Limón","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA MASHRABYA 100ML,Masculino,Oriental,24,100,"Vainilla; Almizcle; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA YARA ROSA 100ML,Femenino,Floral,28,100,"Cedro; Peonía; Almizcle","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Haramain,AL HARAMAIN DETOUR NOIR EXCLUSIF 100ML,Masculino,Amaderado,29,100,"Musgo de roble; Oud; Cedro","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Afnan,AFNAN SUPREMACY NOT ONLY INTENSE 100ML,Unisex,Oriental,54,100,"Cuero; Cardamomo; Oud","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Armaf,ARMAF ETER DESERT ROSE 100ML,Femenino,Floral,50,100,"Peonía; Rosa; Jazmín","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA SALVO EDP 100ML,Masculino,Cítrico,23,100,"Vetiver; Cedro; Bergamota","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Bharara,BHARARA KING GOLD 100ML,Unisex,Oriental,80,100,"Bergamota; Rosa; Incienso","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA QAED AL FURSAN UNLIMITED 90ML,Masculino,Acuático,18,90,"Almizcle; Geranio; Notas marinas","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Fragrance World,FRAGRANCE WORLD IMPERIUM 100ML,Masculino,Oriental,32,100,"Nuez moscada; Jengibre; Ámbar","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Afnan,AFNAN TURATHI ELECTRIC 90ML,Masculino,Aromático,41,90,"Geranio; Salvia; Tonka","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Armaf,ARMAF TAG HIM UOMO ROSSO 100ML,Masculino,Oriental,32,100,"Cardamomo; Jengibre; Pachulí","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Emper,EMPER STALLION 53 100ML,Masculino,Aromático,26,100,"Cedro; Lavanda; Salvia","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA KHANJAR 85ML,Masculino,Oriental,53,85,"Pachulí; Almizcle; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Bharara,BHARARA VIKING DUBAI 100ML,Masculino,Oriental,69,100,"Canela; Resinas; Azafrán","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Afnan,AFNAN 9PM 100ML,Unisex,Oriental,30,100,"Rosa; Pachulí; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF ODYSSEY CANDEE 100ML,Femenino,Gourmand,27,100,"Ámbar; Praliné; Vainilla","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Maison Alhambra,MAISON ALHAMBRA PACIFIC BLUE 80ML,Masculino,Acuático,24,80,"Lavanda; Bergamota; Limón","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA TERIAQ INTENSE 100ML,Masculino,Oriental,41,100,"Cardamomo; Pachulí; Nuez moscada","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Bharara,BHARARA CHOCOLATE 100ML,Masculino,Gourmand,50,100,"Café; Vainilla; Ámbar","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Bharara,BHARARA KING PARFUM 100ML,Masculino,Oriental,72,100,"Pachulí; Vainilla; Azafrán","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA ASAD ZANZIBAR 100ML,Masculino,Oriental,23,100,"Pachulí; Nuez moscada; Cuero","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Al Haramain,AL HARAMAIN AMBER OUD EXCLUSIF EMERALD 60ML,Masculino,Oriental,57,60,"Pimienta negra; Sándalo; Bergamota","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF ETER DESERT NIGHT 100ML,Masculino,Oriental,50,100,"Incienso; Vainilla; Almizcle","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA PHILOS PURA 100ML,Masculino,Aromático,27,100,"Romero; Lavanda; Geranio","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA ANSAAM GOLD 100ML,Femenino,Oriental,30,100,"Resinas; Incienso; Vainilla","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Al Wataniah,AL WATANIAH WATANI PURPLE 100ML,Femenino,Floral,24,100,"Pera; Lirio; Vainilla","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
French Avenue,FRENCH AVENUE GENESIS SAGITTARIUS 90ML,Femenino,Aromático,44,90,"Geranio; Lavanda; Almizcle","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Maison Alhambra,MAISON ALHAMBRA OPULENCE LEATHER 100ML,Masculino,Amaderado,28,100,"Pimienta negra; Pachulí; Oud","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Rasasi,RASASI HAWAS FOR HIM TROPICAL 100ML,Masculino,Cítrico,41,100,"Bergamota; Limón; Almizcle blanco","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Rave,RAVE NOW WOMEN 100ML,Femenino,Floral,25,100,"Bergamota; Pera; Limón","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA LIBRE LEONIE 100ML,Femenino,Floral,36,100,"Peonía; Limón; Bergamota","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
French Avenue,FRENCH AVENUE GENESIS LIBRA 90ML,Femenino,Floral,44,90,"Lirio; Peonía; Jazmín","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
French Avenue,FRENCH AVENUE LIQUID BRUN 100ML,Masculino,Amaderado,50,100,"Pimienta negra; Sándalo; Oud","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Afnan,AFNAN 9AM DIVE 100ML,Masculino,Acuático,34,100,"Lavanda; Bergamota; Notas marinas","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Grandeur,GRANDEUR TUBBEES CANDY POP 50ML,Kids,Gourmand,12,50,"Vainilla; Cacao; Café","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Nautica,NAUTICA VOYAGE 100ML,Masculino,Acuático,22,100,"Geranio; Notas marinas; Ámbar gris","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
French Avenue,FRENCH AVENUE VULCAN FEU 100ML,Femenino,Oriental,54,100,"Nuez moscada; Cuero; Pachulí","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Lattafa,LATTAFA EMEER 100ML,Masculino,Oriental,42,100,"Canela; Clavo; Pimienta rosa","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Lattafa,LATTAFA FAKHAR ROSE 100ML,Femenino,Floral,35,100,"Rosa; Pera; Cedro","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Grandeur,GRANDEUR TUBBEES CHERRY LUXE 50ML,Kids,Gourmand,12,50,"Caramelo; Frutas rojas; Miel","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Orientica,ORIENTICA AMBER ROUGE 80ML,Unisex,Oriental,69,80,"Rosa; Incienso; Bergamota","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA NEBRAS 100ML,Masculino,Amaderado,39,100,"Pachulí; Pimienta negra; Cardamomo","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Maison Alhambra,MAISON ALHAMBRA SALVO ELIXIR 60ML,Masculino,Amaderado,21,60,"Musgo de roble; Sándalo; Ámbar","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
French Avenue,FRENCH AVENUE AZZURE AOUD 100ML,Masculino,Oriental,30,100,"Azafrán; Ámbar; Rosa","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Rasasi,RASASI HAWAS FIRE 100ML,Masculino,Oriental,43,100,"Canela; Nuez moscada; Jengibre","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
L'Affair,L'AFFAIR SUMMER SHOCKWAVE 100ML,Masculino,Cítrico,36,100,"Mandarina; Petit grain; Limón","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
French Avenue,FRENCH AVENUE ATLANTIS EXTRAIT 100ML,Masculino,Acuático,51,100,"Menta; Cedro; Geranio","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA QAED AL FURSAN 90ML,Masculino,Aromático,21,90,"Romero; Clavo; Lavanda","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Emper,EMPER MANDORA 100ML,Masculino,Oriental,30,100,"Cardamomo; Canela; Jengibre","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Lattafa,LATTAFA AMEER AL OUDH INTENSE 100ML,Masculino,Oriental,19,100,"Vainilla; Bergamota; Rosa","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
